127.0.0.1 - - [21/Oct/2022:09:36:22 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [21/Oct/2022:09:36:22 +0900] "GET /WebUI/4_javascript_class/06_function/00_kinds_of_func.html HTTP/1.1" 200 467
0:0:0:0:0:0:0:1 - - [21/Oct/2022:09:36:22 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/Oct/2022:09:39:14 +0900] "GET /WebUI/4_javascript_class/06_function/00_kinds_of_func.html HTTP/1.1" 200 540
0:0:0:0:0:0:0:1 - - [21/Oct/2022:09:39:41 +0900] "GET /WebUI/4_javascript_class/06_function/00_kinds_of_func.html HTTP/1.1" 200 611
0:0:0:0:0:0:0:1 - - [21/Oct/2022:09:39:43 +0900] "GET /WebUI/4_javascript_class/06_function/00_kinds_of_func.html HTTP/1.1" 200 611
0:0:0:0:0:0:0:1 - - [21/Oct/2022:09:39:43 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/Oct/2022:09:39:48 +0900] "GET /WebUI/4_javascript_class/06_function/00_kinds_of_func.html HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [21/Oct/2022:09:43:07 +0900] "GET /WebUI/4_javascript_class/06_function/00_kinds_of_func.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Oct/2022:09:43:09 +0900] "GET /WebUI/4_javascript_class/06_function/00_kinds_of_func.html HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [21/Oct/2022:09:43:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/Oct/2022:09:43:12 +0900] "GET /WebUI/4_javascript_class/06_function/00_kinds_of_func.html HTTP/1.1" 200 760
0:0:0:0:0:0:0:1 - - [21/Oct/2022:09:43:12 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/Oct/2022:09:45:04 +0900] "GET /WebUI/4_javascript_class/06_function/00_kinds_of_func.html HTTP/1.1" 200 900
